"codMinInterno","codIstat","anno","QliRifiuti","KmStrade","Studenti","NrPuntiLuce","NrPermessi","NrIscritti","KmPolizia","NrCertificati","ImpTot","ImpPers","ImpNoPers","vecchiaia","laurea","superficie","altitudine","litoraneità","gradourb","ruralità","PopTot"
1010812570,1267,1994,829.622799664711,43.9999961853027,112,260,12,1035,5478,515,531087.61,188132.34,342955.27,0.235294118523598,0.125103563070297,29.51,552,0,1,1,1207
1010812580,1268,1994,629.802399635315,4.54995775222778,23,63,4,228,1002,161,146481.64,61944.1528320312,84537.4871679688,0.24124513566494,0.12062256783247,2.15,356,0,2,0,257
1010812610,1271,1994,317.600011825562,12.4215679168701,75,150,10,750.907820463181,3091,296,370405.99,198847.961425781,171558.028574219,0.195151507854462,0.12969696521759,8.65,270,0,1,1,825
1010812630,1273,1994,976.974225282669,40.6836280822754,194,441,30,2008.12027491409,9659,641,1154657.67,415530.447998047,739127.222001953,0.16783832013607,0.119947277009487,9.94,197,0,2,0,2276
1010812650,1276,1994,1254.59994506836,86.2159271240234,296,894,38,2744,13337,1534,1379306.6,587146.713867188,792159.886132813,0.161691546440125,0.129353240132332,16.41,372,0,2,0,3216
1010812660,1277,1994,60,3.45239663124084,11,40,3,132,648,83,94818.39,25021.82,69796.57,0.306666672229767,0.100000001490116,12.11,654,0,1,1,150
1010812730,1283,1994,429.099993407726,22,132,225,33,1080.21525679758,4978,535,489431.23,234603.086853027,254828.143146973,0.178210109472275,0.138521403074265,7.08,381,0,2,0,1285
1010812740,1284,1994,1365.29996597767,124.280891418457,356,755,62,2852.78403622983,17860,1309,1433381.19,618731.409606934,814649.780393066,0.171141922473907,0.132782533764839,36.74,510,0,1,1,3389
1010812750,1287,1994,1500.00000405312,78.0929260253906,269,739,49,2754.87276154571,18920,1667,1594266.81,586416.431884766,1007850.37811523,0.228206723928452,0.109589040279388,11.79,385,0,2,0,3212
1010812761,1289,1994,1906.24512534819,15,54,159,19,622.570847511292,3290,281,391911.77,157868.48,234043.29,0.188596487045288,0.111111111938953,22.44,521,0,1,1,684
1010812840,1297,1994,354.200445434298,31.1316909790039,66,180,10,824,3976,295,569860.09,220299.438476562,349560.651523437,0.248358860611916,0.0973741784691811,32.77,738,0,1,1,914
1010812890,1302,1994,1140.199903965,71.4574203491211,260,559,45,2469.18059490085,13960,2010,1369310.07,471333.03,897977.04,0.162085980176926,0.11804087460041,10.36,381,0,2,0,2838
1010812891,1303,1994,920,46.9692840576172,240,400,44,2151.12816077471,10610,1330,917502.72,448575.707702637,468927.012297363,0.186406180262566,0.13186813890934,5.64,367,0,2,0,2457
1010812910,1305,1994,717.500030994415,59,160,411,33,1797,11785,1073,757583.91,262646.22,494937.69,0.194567903876305,0.11308641731739,25.63,450,0,1,1,2025
